Area,Effective Dimensionality (PR),Dim (95% Var),Linearity (Geo/Euc Corr),Max Geodesic Dist (Diameter),Avg Local Curvature (Res. Var),H0 (Components) Max Lifetime,H0 (Components) Avg Lifetime,H0 (Components) Total Persistence,H0 (Components) Feature Count,H1 (Loops) Max Lifetime,H1 (Loops) Avg Lifetime,H1 (Loops) Total Persistence,H1 (Loops) Feature Count,H2 (Voids) Max Lifetime,H2 (Voids) Avg Lifetime,H2 (Voids) Total Persistence,H2 (Voids) Feature Count,Avg Inter-Sentence Dist,Std Inter-Sentence Dist,Min Inter-Sentence Dist,Max Inter-Sentence Dist
PHON,3.0,3,,0.0,0.0,14.142135620117188,14.142135620117188,42.42640686035156,4,0.0,0.0,0.0,0,0,0,0,0,9.428090415820634,3.3333333333333335,7.0710678118654755,14.142135623730951
NOUN,4.543285519593683,7,0.8099659335750373,22.180253230246954,0.005114070176676346,9.69536018371582,3.89749192564111,74.05234658718109,20,0.0,0.0,0.0,0,0,0,0,0,8.867906224904987,1.4355954265828437,6.395265845018965,9.928808913433262
VERB,5.824380540563553,9,0.8397843422176695,15.870005097050795,0.011412587892432985,9.486832618713379,4.304897064254398,90.40283834934235,22,0.10369682312011719,0.10369682312011719,0.10369682312011719,1,0,0,0,0,9.028012186823807,1.0187330847578915,7.503150384489082,9.852651541202299
